date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:34	4919/4919	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2001%20Jun%202020%2009:39:19%20GMT	http://cdn-cms-s.f-static.net/versions/2/wizard/statistics/js/generateStats-min.js?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/wizard/statistics/js/generateStats-min8ab6.js	(from https://5f84704e796cf.site123.me/)
13:18:35	154539/154539	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2011%20Oct%202020%2010:01:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/js/minimize_p4.js?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/js/minimize_p48ab6.js	(from https://5f84704e796cf.site123.me/)
13:18:35	4178/4178	---M-Z	200	added ('OK')	image/gif	date:Tue,%2005%20May%202020%2015:04:41%20GMT	http://cdn-cms-s.f-static.net/files/vendor/slick-1.8.1/slick/ajax-loader.gif	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/files/vendor/slick-1.8.1/slick/ajax-loader.gif	(from http://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=r6915)
13:18:36	186/186	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Oct%202020%2007:48:34%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/owl.video.play.png	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/css/owl.video.play.png	(from http://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=r6915)
13:18:36	201820/201820	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2011%20Oct%202020%2010:01:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/js/minimize_p3.js?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/js/minimize_p38ab6.js	(from https://5f84704e796cf.site123.me/)
13:18:36	159480/159480	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2011%20Oct%202020%2010:01:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/js/minimize_scripts.js?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/js/minimize_scripts8ab6.js	(from https://5f84704e796cf.site123.me/)
13:18:37	48066/48066	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2005:29:40%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/minimize-data.css?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/css/minimize-data8ab6.css	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:39	217866/217866	---M--	200	added ('OK')	image/png	etag:%22ca0cc98f794575419a0ea68734055532%22	https://cdn-cms.f-static.net/uploads/4356402/800_5f9016f6cdaf0.png	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/800_5f9016f6cdaf0.png	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:40	137250/137250	---M--	200	added ('OK')	image/jpg	etag:%22bea717f6e4cdbb862b595e27c3826e57%22	https://cdn-cms.f-static.net/uploads/4356402/2000_5f84834746a30.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/2000_5f84834746a30.jpg	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:40	111096/111096	---M--	200	added ('OK')	image/jpg	etag:%22402e38f00fb04dbb389904aa8e9ebd9d%22	https://cdn-cms.f-static.net/uploads/4356402/2000_5f84834f738fa.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/2000_5f84834f738fa.jpg	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:42	228474/228474	---M--	200	added ('OK')	image/jpg	etag:%22dff7b34e99581305fc20a35ef32f5a0c%22	https://cdn-cms.f-static.net/uploads/4356402/2000_5f84833c80e65.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/2000_5f84833c80e65.jpg	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:42	113401/113401	---M--	200	added ('OK')	image/jpg	etag:%22c04fe6fd7a9a47806b1e0c4635a8b59a%22	https://cdn-cms.f-static.net/uploads/4356402/2000_5f8482e30ee9c.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/2000_5f8482e30ee9c.jpg	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:44	152132/152132	---M--	200	added ('OK')	image/jpg	etag:%221535960f374c61f396418b025849c618%22	https://cdn-cms.f-static.net/uploads/4356402/2000_5f8482d74ad99.jpg	C:/My%20Web%20Sites/SnapLingo/cdn-cms.f-static.net/uploads/4356402/2000_5f8482d74ad99.jpg	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:44	53567/53567	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Oct%202020%2007:48:43%20GMT	https://5f84704e796cf.site123.me/review/5f84704e796cf.site123.me	C:/My%20Web%20Sites/SnapLingo/5f84704e796cf.site123.me/review/5f84704e796cf.site123.27.delayed	(from https://5f84704e796cf.site123.me/review/google-play-store)
13:18:46	89765/89765	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2011%20Oct%202020%2010:01:54%20GMT	http://cdn-cms-s.f-static.net/versions/2/js/minimize-data.js?v=r6915	C:/My%20Web%20Sites/SnapLingo/cdn-cms-s.f-static.net/versions/2/js/minimize-data8ab6.js	(from https://5f84704e796cf.site123.me/review/google-play-store)
